vendor,current_price,old_price
Walmart,2.97,3.97
Walmart,2.97,3.97
Walmart,2.97,3.97
Walmart,2.97,3.97
Walmart,2.97,3.97
Walmart,2.97,3.97
Walmart,2.97,3.97
Walmart,2.97,3.97
Walmart,2.97,3.97
Walmart,2.97,3.97
Walmart,2.97,3.97
Walmart,2.97,3.97
Walmart,2.97,3.97
Walmart,2.97,3.97
Walmart,13.97,18.97
Walmart,13.97,18.97
Walmart,13.97,18.97
Walmart,13.97,18.97
Walmart,13.97,18.97
Walmart,13.97,18.97
Walmart,13.97,18.97
Walmart,13.97,18.97
Walmart,13.97,18.97
Walmart,13.97,18.97
Walmart,13.97,18.97
Walmart,13.97,18.97
Walmart,13.97,18.97
Walmart,13.97,18.97
Walmart,13.97,18.97
Walmart,13.97,18.97
Walmart,13.97,18.97
Walmart,13.97,18.97
Walmart,13.97,18.97
Walmart,13.97,18.97
Walmart,13.97,18.97
Walmart,13.97,18.97
Walmart,13.97,18.97
Walmart,13.97,18.97
Walmart,13.97,18.97
Walmart,13.97,18.97
Walmart,13.97,18.97
Walmart,13.97,18.97
Walmart,13.97,18.97
Walmart,13.97,18.97
Walmart,13.97,18.97
Walmart,13.97,18.97
Walmart,13.97,18.97
Walmart,13.97,18.97
Walmart,13.97,18.97
Walmart,13.97,18.97
Walmart,13.97,18.97
Walmart,13.97,18.97
Walmart,13.97,18.97
Walmart,13.97,18.97
Walmart,13.97,18.97
Walmart,13.97,18.97
Walmart,13.97,18.97
Walmart,13.97,18.97
Walmart,13.97,18.97
Walmart,13.97,18.97
Walmart,13.97,18.97
Walmart,13.97,18.97
Walmart,13.97,18.97
Walmart,13.97,18.97
Walmart,13.97,18.97
Walmart,13.97,18.97
Walmart,13.97,18.97
Walmart,13.97,18.97
Walmart,13.97,18.97
Walmart,13.97,18.97
Walmart,13.97,18.97
Walmart,13.97,18.97
Walmart,13.97,18.97
Walmart,13.97,18.97
Walmart,13.97,18.97
Walmart,13.97,18.97
Walmart,13.97,18.97
Walmart,13.97,18.97
Walmart,13.97,18.97
Walmart,13.97,18.97
Walmart,13.97,18.97
Walmart,13.97,18.97
Walmart,13.97,18.97
Walmart,13.97,18.97
Walmart,13.97,18.97
Walmart,13.97,18.97
Walmart,15.28,16.98
Walmart,15.28,16.98
Walmart,15.28,16.98
Walmart,15.28,16.98
Walmart,15.28,16.98
Walmart,15.28,16.98
Walmart,15.28,16.98
Walmart,15.28,16.98
Walmart,15.28,16.98
Walmart,15.28,16.98
Walmart,15.28,16.98
Walmart,15.28,16.98
Walmart,15.28,16.98
Walmart,15.28,16.98
Walmart,15.28,16.98
Walmart,15.28,16.98
Walmart,15.28,16.98
Walmart,15.28,16.98
Walmart,15.28,16.98
Walmart,15.28,16.98
Walmart,15.28,16.98
Walmart,15.28,16.98
Walmart,15.28,16.98
Walmart,15.28,16.98
Walmart,15.28,16.98
Walmart,15.28,16.98
Walmart,15.28,16.98
Walmart,15.28,16.98
Walmart,15.28,16.98
Walmart,15.28,16.98
Walmart,15.28,16.98
Walmart,15.28,16.98
Walmart,15.28,16.98
Walmart,15.28,16.98
Walmart,15.28,16.98
Walmart,15.28,16.98
Walmart,15.28,16.98
Walmart,15.28,16.98
Walmart,15.28,16.98
Walmart,2.77,3.67
Walmart,2.77,3.67
Walmart,2.77,3.67
Walmart,3.98,4.97
Walmart,3.98,4.97
Walmart,3.98,4.97
Walmart,3.98,4.97
Walmart,3.98,4.97
Walmart,3.98,4.97
Walmart,3.98,4.97
Walmart,3.98,4.97
Walmart,3.98,4.97
Walmart,3.98,4.97
Walmart,1.77,1.97
Walmart,1.77,1.97
Walmart,1.77,1.97
Walmart,1.77,1.97
Walmart,1.77,1.97
Walmart,1.77,1.97
Walmart,1.77,1.97
Walmart,9.97,10.97
Walmart,4.97,7.97
Walmart,4.97,7.97
Walmart,4.97,7.97
Walmart,4.97,7.97
Walmart,4.97,7.97
Walmart,4.97,7.97
Walmart,4.97,7.97
Walmart,4.97,7.97
Walmart,4.97,7.97
Walmart,4.97,7.97
Walmart,4.97,7.97
Walmart,4.97,7.97
Walmart,4.97,7.97
Walmart,4.97,7.97
Walmart,8.98,9.98
Walmart,8.98,9.98
Walmart,8.98,9.98
Walmart,8.98,9.98
Walmart,8.98,9.98
Walmart,8.98,9.98
Walmart,8.98,9.98
Walmart,8.98,9.98
Walmart,8.98,9.98
Walmart,8.98,9.98
Walmart,8.98,9.98
Walmart,8.98,9.98
Walmart,8.98,9.98
Walmart,8.98,9.98
Walmart,8.98,9.98
Walmart,3.97,5.97
Walmart,3.97,5.97
Walmart,3.97,5.97
Walmart,3.97,5.97
Walmart,3.97,5.97
Walmart,3.97,5.97
Walmart,3.97,5.97
Walmart,3.97,5.97
Walmart,3.97,5.97
Walmart,3.97,5.97
Walmart,3.97,5.97
Walmart,3.97,5.97
Walmart,3.97,5.97
Walmart,3.97,5.97
Walmart,3.97,5.97
Walmart,3.97,5.97
Walmart,3.97,5.97
Walmart,3.97,5.97
Walmart,3.97,5.97
Walmart,3.97,5.97
Walmart,3.97,5.97
Walmart,3.97,5.97
Walmart,3.97,5.97
Walmart,3.97,5.97
Walmart,3.97,5.97
Walmart,3.97,5.97
Walmart,3.97,5.97
Walmart,3.97,5.97
Walmart,3.97,5.97
Walmart,3.97,5.97
Walmart,3.97,5.97
Walmart,3.97,5.97
Walmart,3.97,5.97
Walmart,3.97,5.97
Walmart,3.97,5.97
Walmart,3.97,5.97
Walmart,3.97,5.97
Walmart,3.97,5.97
Walmart,3.97,5.97
Walmart,3.97,5.97
Walmart,3.97,5.97
Walmart,3.97,5.97
Walmart,3.97,5.97
Walmart,3.97,5.97
Walmart,3.97,5.97
Walmart,3.97,5.97
Walmart,3.97,5.97
Walmart,3.97,5.97
Walmart,3.97,5.97
Walmart,3.97,5.97
Walmart,3.97,5.97
Walmart,3.97,5.97
Walmart,3.97,5.97
Walmart,3.97,5.97
Walmart,3.97,5.97
Walmart,3.97,5.97
Walmart,3.97,5.97
Walmart,3.97,5.97
Walmart,3.97,5.97
Walmart,3.97,5.97
Walmart,3.97,5.97
Walmart,3.97,5.97
Walmart,5.47,6.98
Walmart,5.47,6.98
Walmart,5.47,6.98
Walmart,5.47,6.98
Walmart,5.47,6.98
Walmart,5.47,6.98
Walmart,5.47,6.98
Walmart,5.47,6.98
Walmart,5.47,6.98
Walmart,5.47,6.98
Walmart,5.47,6.98
Walmart,5.47,6.98
Walmart,5.47,6.98
Walmart,5.47,6.98
Walmart,5.47,6.98
Walmart,5.47,6.98
Walmart,5.47,6.98
Walmart,5.47,6.98
Walmart,5.47,6.98
Walmart,5.47,6.98
Walmart,5.47,6.98
Walmart,5.47,6.98
Walmart,5.47,6.98
Walmart,5.47,6.98
Walmart,5.47,6.98
Walmart,5.47,6.98
